"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","Get user me","LMS service","Thu Oct 16 21:07:41 GMT 2025","passed","Thu Oct 16 21:07:41 GMT 2025","Get entity","Users","",""
"","261","Create file with empty directory","LMS service","Thu Oct 16 21:07:39 GMT 2025","passed","Thu Oct 16 21:07:39 GMT 2025","Validate entity","Files","",""
"","287","Delete exercise","LMS service","Thu Oct 16 21:07:36 GMT 2025","passed","Thu Oct 16 21:07:36 GMT 2025","Delete entity","Exercises","",""
"","304","Update course","LMS service","Thu Oct 16 21:07:32 GMT 2025","passed","Thu Oct 16 21:07:32 GMT 2025","Update entity","Courses","",""
"","20","Delete file","LMS service","Thu Oct 16 21:07:40 GMT 2025","passed","Thu Oct 16 21:07:40 GMT 2025","Delete entity","Files","",""
"","291","Update exercise","LMS service","Thu Oct 16 21:07:35 GMT 2025","passed","Thu Oct 16 21:07:35 GMT 2025","Update entity","Exercises","",""
"","563","Create user","LMS service","Thu Oct 16 21:07:40 GMT 2025","passed","Thu Oct 16 21:07:41 GMT 2025","Create entity","Users","",""
"","260","Create file with empty filename","LMS service","Thu Oct 16 21:07:38 GMT 2025","passed","Thu Oct 16 21:07:38 GMT 2025","Validate entity","Files","",""
"","18","Get exercise","LMS service","Thu Oct 16 21:07:35 GMT 2025","passed","Thu Oct 16 21:07:35 GMT 2025","Get entity","Exercises","",""
"","260","Get file with incorrect file id","LMS service","Thu Oct 16 21:07:40 GMT 2025","passed","Thu Oct 16 21:07:40 GMT 2025","Validate entity","Files","",""
"","16","Get exercises","LMS service","Thu Oct 16 21:07:37 GMT 2025","passed","Thu Oct 16 21:07:37 GMT 2025","Get entities","Exercises","",""
"","13","Get file","LMS service","Thu Oct 16 21:07:38 GMT 2025","passed","Thu Oct 16 21:07:38 GMT 2025","Get entity","Files","",""
"","288","Create user","LMS service","Thu Oct 16 21:07:40 GMT 2025","passed","Thu Oct 16 21:07:41 GMT 2025","Create entity","Users","",""
"","29","Create course","LMS service","Thu Oct 16 21:07:34 GMT 2025","passed","Thu Oct 16 21:07:34 GMT 2025","Create entity","Courses","",""
"","542","Create user","LMS service","Thu Oct 16 21:07:40 GMT 2025","passed","Thu Oct 16 21:07:40 GMT 2025","Create entity","Users","",""
"","553","Login with correct email and password","LMS service","Thu Oct 16 21:07:32 GMT 2025","passed","Thu Oct 16 21:07:32 GMT 2025","Login","Authentication","",""
"","268","Create file","LMS service","Thu Oct 16 21:07:37 GMT 2025","passed","Thu Oct 16 21:07:37 GMT 2025","Create entity","Files","",""
"","22","Create exercise","LMS service","Thu Oct 16 21:07:34 GMT 2025","passed","Thu Oct 16 21:07:34 GMT 2025","CREATE_ENTITY","Exercises","",""
"","23","Get courses","LMS service","Thu Oct 16 21:07:33 GMT 2025","passed","Thu Oct 16 21:07:33 GMT 2025","Get entities","Courses","",""
